Series_Name,Country_Name,Country_Code,yr_1990,yr_2000,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020
"Labor force participation rate for ages 15-24, male (%)",Afghanistan,AFG,..,..,..,62.8317985534668,..,67.2928009033203,..,..,58.5746002197266,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Albania,ALB,..,..,51.6553993225098,43.8916015625,36.5167999267578,37.3745994567871,39.1531982421875,36.730598449707,37.49169921875,43.3408012390137,43.2104988098145,..
"Labor force participation rate for ages 15-24, male (%)",Algeria,DZA,..,..,..,..,..,42.8205986022949,41,40.5919990539551,32.8800010681152,..,..,..
"Labor force participation rate for ages 15-24, male (%)",American Samoa,ASM,33.689998626709,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Angola,AGO,..,..,57.9771003723145,..,..,39.7799987792969,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Argentina,ARG,70.9700012207031,..,49.6283988952637,49.415699005127,48.9822998046875,46.5559005737305,..,..,46.7126007080078,46.2383995056152,45.684700012207,..
"Labor force participation rate for ages 15-24, male (%)",Armenia,ARM,..,..,48.978199005127,37.1810989379883,47.7037010192871,42.8171997070313,43.7820014953613,39.2179985046387,37.2153015136719,40.2397994995117,..,..
"Labor force participation rate for ages 15-24, male (%)",Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Australia,AUS,75.2730026245117,71.8621978759766,68.7835006713867,68.2313003540039,67.3657989501953,66.875,67.8003997802734,67.1977996826172,67.4129028320313,68.1315994262695,68.2378997802734,..
"Labor force participation rate for ages 15-24, male (%)",Austria,AUT,66.2799987792969,60.736499786377,63.6487007141113,63.1245994567871,62.2664985656738,60.6960983276367,60.6926002502441,60.246898651123,58.4273986816406,59.4911994934082,60.3205986022949,..
"Labor force participation rate for ages 15-24, male (%)",Azerbaijan,AZE,..,..,34.0400009155273,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)","Bahamas, The",BHS,62.7900009155273,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Bahrain,BHR,..,..,51.2200012207031,..,..,..,54.9099998474121,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Bangladesh,BGD,..,71.2799987792969,..,..,53.7501983642578,..,..,53.1199989318848,54.9207000732422,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Barbados,BRB,67.9000015258789,..,56.5800018310547,52.060001373291,53.2099990844727,47.0900001525879,48.3499984741211,46.2000007629395,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Belgium,BEL,37.0275001525879,38.7219009399414,34.1286010742188,34.9644012451172,33.6608009338379,32.2536010742188,32.7991981506348,30.6921005249023,30.6317005157471,31.4395999908447,32.4598007202148,..
"Labor force participation rate for ages 15-24, male (%)",Belize,BLZ,..,..,..,64.5800018310547,59.8544998168945,61.8557014465332,59.6044998168945,60.3316993713379,59.2046012878418,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Benin,BEN,..,..,38.4444999694824,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Bermuda,BMU,..,50.2900009155273,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Bhutan,BTN,..,..,35.2400016784668,28.2600002288818,..,25.2700004577637,28.0100002288818,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Bolivia,BOL,67.0500030517578,60.1199989318848,60.3331985473633,53.9234008789063,52.9589996337891,60.0671005249023,53.6394996643066,50.1427993774414,50.9533004760742,55.1425018310547,56.4628982543945,..
"Labor force participation rate for ages 15-24, male (%)",Bosnia and Herzegovina,BIH,..,..,38.4743995666504,37.4576988220215,36.0828018188477,34.2015991210938,38.8381996154785,38.1085014343262,39.6994018554688,40.1969985961914,39.1161994934082,..
"Labor force participation rate for ages 15-24, male (%)",Botswana,BWA,..,41.7799987792969,..,..,49.8199996948242,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Brazil,BRA,81.1699981689453,..,67.0222015380859,64.1220016479492,62.7440986633301,61.2915000915527,60.9912986755371,60.4402008056641,60.9500999450684,61.2846984863281,61.5231018066406,..
"Labor force participation rate for ages 15-24, male (%)",British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Brunei Darussalam,BRN,..,..,..,..,..,39.2872009277344,..,..,42.9058990478516,45.0830001831055,46.065601348877,..
"Labor force participation rate for ages 15-24, male (%)",Bulgaria,BGR,..,35.9469985961914,33.8560981750488,35.2942008972168,34.3347015380859,31.5382995605469,30.4939002990723,27.9841995239258,30.5214996337891,27.8423004150391,27.5757999420166,..
"Labor force participation rate for ages 15-24, male (%)",Burkina Faso,BFA,..,..,..,..,..,59.2196006774902,..,..,..,27.6469993591309,..,..
"Labor force participation rate for ages 15-24, male (%)",Burundi,BDI,78.6500015258789,..,..,..,..,46.970100402832,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%)",Cabo Verde,CPV,79.4899978637695,..,..,..,..,..,49.1641998291016,..,39.6399993896484,36.7799987792969,37.2900009155273,..
"Labor force participation rate for ages 15-24, male (%)",Cambodia,KHM,..,63.5401000976563,79.0843963623047,61.7223014831543,75.1340026855469,74.4096984863281,74.1477966308594,76.1716003417969,74.3392028808594,..,..,..
