Series_Name,Country_Name,Country_Code,yr_1990,yr_2000,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020
"Labor force participation rate for ages 15-24, female (%)",Afghanistan,AFG,14.2320003509521,13.7239999771118,14.4130001068115,14.9670000076294,15.8280000686646,16.7399997711182,17.7049999237061,18.7189998626709,19.7840003967285,20.2150001525879,20.4039993286133,20.5860004425049
"Labor force participation rate for ages 15-24, female (%)",Albania,ALB,53.609001159668,49.1660003662109,27.3010005950928,28.1439990997314,20.8059997558594,20.5,22.6509990692139,23.5699996948242,24.5,24.1720008850098,23.9340000152588,23.6730003356934
"Labor force participation rate for ages 15-24, female (%)",Algeria,DZA,16.57200050354,12.375,9.72000026702881,10.3339996337891,10.3450002670288,8.75399971008301,8.80000019073486,8.80300045013428,8.76200008392334,8.67500019073486,8.41600036621094,8.11900043487549
"Labor force participation rate for ages 15-24, female (%)",American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%)",Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%)",Angola,AGO,59.1100006103516,58.8889999389648,58.9609985351563,59.0340003967285,59.0429992675781,58.9939994812012,58.8839988708496,58.7859992980957,58.6220016479492,58.3940010070801,58.3689994812012,58.3470001220703
"Labor force participation rate for ages 15-24, female (%)",Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%)",Argentina,ARG,41.148998260498,38.0019989013672,31.8990001678467,31.2889995574951,30.9930000305176,29.8349990844727,30.173999786377,30.4589996337891,30.6840000152588,31.8250007629395,31.4400005340576,31.0890007019043
"Labor force participation rate for ages 15-24, female (%)",Armenia,ARM,27.0690002441406,25.4379997253418,31.2730007171631,31.8579998016357,32.435001373291,33.4910011291504,35.8380012512207,30.2299995422363,32.6990013122559,31.3910007476807,30.8339996337891,30.3229999542236
"Labor force participation rate for ages 15-24, female (%)",Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
